"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","+/-","GP RANK","W RANK","L RANK","MIN RANK","PTS RANK","FGM RANK","FGA RANK","FG% RANK","3PM RANK","3PA RANK","3P% RANK","FTM RANK","FTA RANK","FT% RANK","OREB RANK","DREB RANK","REB RANK","AST RANK","TOV RANK","STL RANK","BLK RANK","PF RANK","FP RANK","DD2 RANK","TD3 RANK","+/- RANK","3PTMissed","FG_Missed","FTMissed","score","day"
"Victor Oladipo","IND",28,1,1,0,34.2,16,5,14,35.7,4,8,50,2,2,100,0,4,4,8,3,1,0,1,32.8,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0,18,"2020-12-31"
"Shake Milton","PHI",24,1,1,0,24.6,14,6,15,40,1,4,25,1,1,100,0,4,4,6,1,1,2,1,35.8,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,18,"2020-12-31"
"Thaddeus Young","CHI",32,1,1,0,27,15,7,12,58.3,1,2,50,0,0,0,1,2,3,6,2,2,0,2,31.6,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,19,"2020-12-31"
"Jaxson Hayes","NOP",20,1,1,0,14.2,0,0,2,0,0,0,0,0,2,0,1,5,6,1,2,0,2,3,12.7,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,"2020-12-31"
"Steven Adams","NOP",27,1,1,0,31.4,14,7,13,53.8,0,0,0,0,0,0,6,4,10,2,0,1,1,1,35,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,23,"2020-12-31"
"Coby White","CHI",20,1,1,0,40.2,16,5,16,31.3,3,9,33.3,3,5,60,1,5,6,10,3,0,0,4,35.2,1,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,2,14,"2020-12-31"
"Danny Green","PHI",33,1,1,0,18.3,3,1,4,25,1,4,25,0,0,0,0,0,0,0,1,0,1,3,5,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,-1,"2020-12-31"
"Christian Wood","HOU",25,1,1,0,31.9,21,9,14,64.3,0,3,0,3,4,75,3,9,12,3,1,1,2,1,47.9,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,33,"2020-12-31"
"Jevon Carter","PHX",25,1,1,0,11.1,9,4,5,80,1,1,100,0,0,0,0,3,3,0,0,0,0,1,12.6,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,12,"2020-12-31"
"Lonzo Ball","NOP",23,1,1,0,32.4,16,7,15,46.7,2,7,28.6,0,1,0,1,7,8,9,3,1,0,2,39.1,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,1,22,"2020-12-31"
"Rui Hachimura","WAS",22,1,0,1,25.2,17,5,8,62.5,2,2,100,5,8,62.5,2,3,5,3,2,1,0,1,28.5,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,17,"2020-12-31"
"Chris Paul","PHX",35,1,1,0,29.8,11,4,13,30.8,2,4,50,1,1,100,1,3,4,8,3,0,0,2,24.8,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,0,11,"2020-12-31"
"Aaron Holiday","IND",24,1,1,0,22.5,12,4,6,66.7,3,4,75,1,2,50,1,0,1,2,1,1,0,4,18.2,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,10,"2020-12-31"
"Chris Boucher","TOR",27,1,1,0,24.4,9,3,9,33.3,1,4,25,2,5,40,2,7,9,2,2,0,1,4,23.8,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,8,"2020-12-31"
"Dario Saric","PHX",26,1,1,0,18.2,5,1,7,14.3,1,5,20,2,2,100,0,5,5,1,2,0,0,2,10.5,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,3,"2020-12-31"
"Dwight Howard","PHI",35,1,1,0,14.4,7,3,4,75,1,1,100,0,0,0,1,4,5,1,3,1,1,4,17.5,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,9,"2020-12-31"
"Kyle Lowry","TOR",34,1,1,0,36.8,20,6,12,50,4,9,44.4,4,6,66.7,1,6,7,4,4,2,0,3,36.4,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,2,20,"2020-12-31"
"Eric Bledsoe","NOP",31,1,1,0,25.2,17,7,11,63.6,2,5,40,1,1,100,0,3,3,1,0,1,0,0,25.1,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,20,"2020-12-31"
"Jae Crowder","PHX",30,1,1,0,36.7,16,6,11,54.5,4,9,44.4,0,0,0,1,5,6,1,1,2,1,3,32.7,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,19,"2020-12-31"
"Karim Mane","ORL",20,1,0,1,18.8,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,4.8,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,"2020-12-31"
"Nemanja Bjelica","SAC",32,1,0,1,15.8,8,3,4,75,1,1,100,1,3,33.3,2,3,5,2,3,0,0,2,14,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,7,"2020-12-31"
"JJ Redick","NOP",36,1,1,0,17,3,1,4,25,1,4,25,0,0,0,0,2,2,1,0,0,0,1,6.9,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,4,"2020-12-31"
"Alex Len","TOR",27,1,1,0,12.6,11,3,4,75,3,3,100,2,2,100,0,2,2,0,0,0,1,0,16.4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,15,"2020-12-31"
"Cameron Johnson","PHX",24,1,1,0,18,10,4,4,100,2,2,100,0,0,0,0,2,2,2,1,0,1,0,17.4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,16,"2020-12-31"
"James Harden","HOU",31,1,1,0,38.3,33,10,24,41.7,4,11,36.4,9,11,81.8,2,4,6,8,6,1,1,2,52.2,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,2,27,"2020-12-31"
"Justin Holiday","IND",31,1,1,0,23.1,7,3,7,42.9,1,4,25,0,0,0,0,4,4,1,1,1,0,0,15.3,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,10,"2020-12-31"
"Matisse Thybulle","PHI",23,1,1,0,17.9,9,3,5,60,2,4,50,1,1,100,0,4,4,0,2,1,2,1,20.8,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,13,"2020-12-31"
"Myles Turner","IND",24,1,1,0,33.4,14,5,9,55.6,0,4,0,4,4,100,2,5,7,2,0,4,1,6,40.4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,20,"2020-12-31"
"Zion Williamson","NOP",20,1,1,0,17.4,12,4,6,66.7,0,0,0,4,6,66.7,4,1,5,1,3,0,0,4,16.5,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,9,"2020-12-31"
"Brandon Ingram","NOP",23,1,1,0,26,20,8,16,50,2,6,33.3,2,3,66.7,1,6,7,2,0,0,1,2,34.4,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,1,21,"2020-12-31"
"Danuel House Jr.","HOU",27,1,1,0,27.9,11,5,6,83.3,1,2,50,0,0,0,0,5,5,1,0,0,0,2,18.5,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,16,"2020-12-31"
"Kira Lewis Jr.","NOP",19,1,1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,"2020-12-31"
"Langston Galloway","PHX",29,1,1,0,6.4,0,0,2,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,5.4,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,4,"2020-12-31"
"Sindarius Thornwell","NOP",26,1,1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,7.2,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,"2020-12-31"
"Andre Drummond","CLE",27,1,0,1,25,11,4,11,36.4,0,0,0,3,4,75,3,10,13,4,3,1,1,4,35.6,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,1,15,"2020-12-31"
"Deni Avdija","WAS",20,1,0,1,24.5,6,2,5,40,0,3,0,2,2,100,1,3,4,3,0,0,0,1,15.3,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,9,"2020-12-31"
"Jordan Bone","ORL",23,1,0,1,8.6,4,2,4,50,0,1,0,0,0,0,1,1,2,1,0,0,0,0,7.9,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,5,"2020-12-31"
"Kelan Martin","IND",25,1,1,0,11,0,0,6,0,0,2,0,0,0,0,1,0,1,0,2,1,0,3,2.2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,-7,"2020-12-31"
"Khem Birch","ORL",28,1,0,1,24.2,6,2,7,28.6,0,0,0,2,2,100,4,3,7,1,2,1,1,2,19.9,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,7,"2020-12-31"
"Denzel Valentine","CHI",27,1,1,0,15,3,1,3,33.3,1,2,50,0,0,0,1,3,4,1,0,1,0,2,12.3,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,7,"2020-12-31"
"Eric Gordon","HOU",32,1,1,0,25.9,17,6,12,50,3,8,37.5,2,2,100,1,1,2,0,2,2,0,3,23.4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0,12,"2020-12-31"
"P.J. Tucker","HOU",35,1,1,0,32.4,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,3,2,3,22.2,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10,"2020-12-31"
