"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3","X...","GP.RANK","W.RANK","L.RANK","MIN.RANK","PTS.RANK","FGM.RANK","FGA.RANK","FG..RANK","X3PM.RANK","X3PA.RANK","X3P..RANK","FTM.RANK","FTA.RANK","FT..RANK","OREB.RANK","DREB.RANK","REB.RANK","AST.RANK","TOV.RANK","STL.RANK","BLK.RANK","PF.RANK","FP.RANK","DD2.RANK","TD3.RANK","X....RANK","X3PTMissed","FG_Missed","FTMissed","score","day"
"Willie Cauley-Stein","DAL",27,1,1,0,24.1,15,5,7,71.4,0,0,0,5,6,83.3,2,5,7,2,0,1,1,4,32.4,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,21,"2021-01-04"
"Zion Williamson","NOP",20,1,0,1,35.1,24,9,19,47.4,0,0,0,6,8,75,4,6,10,2,3,1,1,2,42,1,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,2,21,"2021-01-04"
"Immanuel Quickley","NYK",21,1,1,0,18.8,16,4,7,57.1,2,3,66.7,6,6,100,0,2,2,1,1,1,1,2,24.9,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,17,"2021-01-04"
"Jimmy Butler","MIA",31,1,1,0,25.7,18,6,12,50,0,2,0,6,6,100,0,3,3,6,0,1,0,1,33.6,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,23,"2021-01-04"
"Tyler Herro","MIA",20,1,1,0,29.1,7,3,9,33.3,1,5,20,0,0,0,0,9,9,8,2,1,0,2,30.8,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0,17,"2021-01-04"
"Giannis Antetokounmpo","MIL",26,1,1,0,36.1,43,17,24,70.8,2,6,33.3,7,9,77.8,2,7,9,4,3,0,1,4,59.8,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,2,43,"2021-01-04"
"Jrue Holiday","MIL",30,1,1,0,34.2,15,6,10,60,2,3,66.7,1,1,100,1,5,6,7,1,3,0,1,40.7,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,27,"2021-01-04"
"Maxi Kleber","DAL",28,1,1,0,18.4,0,0,1,0,0,1,0,0,0,0,2,7,9,3,1,0,0,5,14.3,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,7,"2021-01-04"
"Andrew Wiggins","GSW",25,1,1,0,28.1,16,7,15,46.7,2,4,50,0,0,0,0,2,2,5,3,1,1,1,28.9,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,0,15,"2021-01-04"
"Josh Richardson","DAL",27,1,1,0,30.8,15,4,10,40,2,7,28.6,5,5,100,1,0,1,0,1,1,0,6,18.2,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0,6,"2021-01-04"
"Shake Milton","PHI",24,1,1,0,26.7,10,3,11,27.3,1,6,16.7,3,3,100,1,1,2,6,0,1,0,2,24.4,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,0,11,"2021-01-04"
"Cole Anthony","ORL",20,1,1,0,21.5,9,2,9,22.2,1,2,50,4,5,80,1,4,5,4,1,0,1,3,23,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,9,"2021-01-04"
"Doug McDermott","IND",29,1,1,0,28.7,11,4,9,44.4,3,7,42.9,0,0,0,1,2,3,1,3,0,0,3,13.1,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,0,6,"2021-01-04"
"Gary Clark","ORL",26,1,1,0,20.9,6,2,5,40,2,4,50,0,0,0,2,3,5,0,2,0,0,1,10,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,7,"2021-01-04"
"Avery Bradley","MIA",30,1,1,0,17.3,8,3,4,75,2,2,100,0,0,0,0,1,1,1,0,1,0,2,13.7,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,10,"2021-01-04"
"Donte DiVincenzo","MIL",23,1,1,0,29.7,5,2,9,22.2,1,6,16.7,0,0,0,1,4,5,9,2,2,1,2,31.5,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,13,"2021-01-04"
"Draymond Green","GSW",30,1,1,0,21.2,5,1,3,33.3,1,2,50,2,2,100,0,5,5,5,1,2,0,3,23.5,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,13,"2021-01-04"
"Kent Bazemore","GSW",31,1,1,0,15.5,5,2,3,66.7,1,2,50,0,0,0,0,2,2,3,0,0,1,4,14.9,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,8,"2021-01-04"
"RJ Barrett","NYK",20,1,1,0,43.8,26,10,19,52.6,1,5,20,5,7,71.4,1,10,11,5,0,2,0,2,52.7,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,2,33,"2021-01-04"
"Eric Paschall","GSW",24,1,1,0,21.8,14,6,10,60,2,3,66.7,0,0,0,0,7,7,4,1,0,0,2,27.4,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,20,"2021-01-04"
"Khris Middleton","MIL",29,1,1,0,35.8,19,7,10,70,2,4,50,3,4,75,0,9,9,4,6,0,0,0,29.8,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,24,"2021-01-04"
"Nikola Vucevic","ORL",30,1,1,0,31.2,23,9,16,56.3,2,5,40,3,3,100,2,6,8,2,0,2,3,0,50.6,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,0,33,"2021-01-04"
"Andre Iguodala","MIA",36,1,1,0,14.5,9,3,5,60,3,4,75,0,0,0,0,0,0,1,0,1,0,1,13.5,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,10,"2021-01-04"
"Jalen McDaniels","CHA",22,1,0,1,16.5,10,4,6,66.7,1,2,50,1,2,50,0,4,4,0,0,1,0,4,17.8,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,8,"2021-01-04"
"John Collins","ATL",23,1,0,1,33.1,18,8,15,53.3,2,4,50,0,0,0,3,5,8,1,1,2,0,3,34.1,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,18,"2021-01-04"
"Justin Holiday","IND",31,1,1,0,44.9,9,3,9,33.3,3,6,50,0,0,0,3,4,7,5,3,1,1,5,27.9,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,11,"2021-01-04"
"Markelle Fultz","ORL",22,1,1,0,31,6,3,9,33.3,0,1,0,0,0,0,0,5,5,8,5,0,0,2,19,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,8,"2021-01-04"
"D.J. Augustin","MIL",33,1,1,0,18.6,11,4,5,80,3,3,100,0,0,0,0,1,1,6,1,0,0,1,20.2,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,17,"2021-01-04"
"Damion Lee","GSW",28,1,1,0,19.9,3,1,3,33.3,1,3,33.3,0,0,0,0,6,6,3,0,0,0,2,14.7,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,10,"2021-01-04"
"Eric Gordon","HOU",32,1,0,1,25.9,20,5,12,41.7,4,10,40,6,6,100,1,4,5,2,1,1,1,2,34,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,0,19,"2021-01-04"
"Terrence Ross","ORL",29,1,1,0,31.5,15,5,13,38.5,2,7,28.6,3,3,100,0,2,2,1,2,4,0,1,28.9,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,0,13,"2021-01-04"
"Malcolm Brogdon","IND",28,1,1,0,45.8,21,8,18,44.4,4,9,44.4,1,2,50,0,7,7,11,0,3,1,1,57.9,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,1,33,"2021-01-04"
"Michael Carter-Williams","ORL",29,1,1,0,17.7,0,0,4,0,0,2,0,0,0,0,1,0,1,3,2,0,1,2,6.7,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,-1,"2021-01-04"
"Nick Richards","CHA",23,1,0,1,6,3,1,1,100,0,0,0,1,2,50,1,2,3,0,0,0,0,1,6.6,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,"2021-01-04"
"Semi Ojeleye","BOS",26,1,1,0,29.8,12,4,9,44.4,3,5,60,1,2,50,1,7,8,1,1,0,0,3,22.1,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,13,"2021-01-04"
"Victor Oladipo","IND",28,1,1,0,36,25,8,17,47.1,5,11,45.5,4,6,66.7,0,5,5,6,2,2,0,1,44,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,2,26,"2021-01-04"
"Ben Simmons","PHI",24,1,1,0,35,12,6,13,46.2,0,0,0,0,0,0,1,9,10,6,2,0,1,2,34,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,20,"2021-01-04"
"Brook Lopez","MIL",32,1,1,0,30.1,8,3,7,42.9,2,6,33.3,0,0,0,0,7,7,1,3,1,2,4,23.9,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,10,"2021-01-04"
"Sterling Brown","HOU",25,1,0,1,15.6,5,1,5,20,1,4,25,2,2,100,0,1,1,0,0,0,0,1,6.2,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,1,"2021-01-04"
"Trae Young","ATL",22,1,0,1,39.6,31,9,22,40.9,1,6,16.7,12,15,80,1,1,2,14,8,1,0,3,49.4,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,3,21,"2021-01-04"
"Yuta Watanabe","TOR",26,1,0,1,4.3,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,0,4.2,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,"2021-01-04"
"Aaron Gordon","ORL",25,1,1,0,27.9,24,9,17,52.9,6,9,66.7,0,0,0,6,5,11,1,2,1,0,1,39.7,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,28,"2021-01-04"
"Dwight Howard","PHI",35,1,1,0,17.5,9,4,6,66.7,0,0,0,1,4,25,6,7,13,1,3,0,0,4,23.1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,13,"2021-01-04"
"Khem Birch","ORL",28,1,1,0,22.9,12,5,7,71.4,0,0,0,2,2,100,6,6,12,1,1,1,1,4,32.9,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,22,"2021-01-04"
"Tristan Thompson","BOS",29,1,1,0,20.1,0,0,1,0,0,0,0,0,2,0,1,6,7,0,0,1,2,2,17.4,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,7,"2021-01-04"
"Bobby Portis","MIL",25,1,1,0,22.6,10,5,8,62.5,0,1,0,0,0,0,3,5,8,1,0,0,0,0,21.1,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,18,"2021-01-04"
"Brad Wanamaker","GSW",31,1,1,0,17.4,5,2,6,33.3,1,2,50,0,0,0,0,1,1,4,0,0,0,2,12.2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,6,"2021-01-04"
"DeMarcus Cousins","HOU",30,1,0,1,2.9,4,2,4,50,0,1,0,0,0,0,1,2,3,0,1,0,2,1,12.6,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,5,"2021-01-04"
"Jae'Sean Tate","HOU",25,1,0,1,24.8,8,3,6,50,1,1,100,1,1,100,2,4,6,0,1,0,0,3,14.2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,7,"2021-01-04"
"Julius Randle","NYK",26,1,1,0,43.2,28,11,19,57.9,0,5,0,6,8,75,4,13,17,9,7,1,0,2,57.9,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,2,38,"2021-01-04"
"Terence Davis","TOR",23,1,0,1,17.2,13,4,8,50,1,2,50,4,4,100,1,1,2,3,1,1,0,2,21.9,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,12,"2021-01-04"
"Austin Rivers","NYK",28,1,1,0,33.4,8,3,6,50,2,3,66.7,0,0,0,0,2,2,1,1,1,0,4,13.9,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,6,"2021-01-04"
"Derrick Rose","DET",32,1,0,1,24.6,24,9,18,50,2,4,50,4,4,100,0,2,2,8,0,1,0,1,41.4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,0,25,"2021-01-04"
"James Wiseman","GSW",19,1,1,0,17.4,10,5,9,55.6,0,1,0,0,1,0,1,4,5,1,1,0,2,2,22.5,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,12,"2021-01-04"
"Jaylen Brown","BOS",24,1,1,0,33.9,19,7,16,43.8,1,2,50,4,4,100,0,5,5,3,4,1,0,2,28.5,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,15,"2021-01-04"
"Kenrich Williams","OKC",26,1,0,1,8.2,2,0,0,0,0,0,0,2,2,100,0,1,1,2,2,1,1,0,10.2,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,"2021-01-04"
"Kevin Knox II","NYK",21,1,1,0,18.2,6,2,3,66.7,2,3,66.7,0,0,0,0,0,0,2,1,0,1,4,11,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,5,"2021-01-04"
"Marques Bolden","CLE",22,1,0,1,5.7,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.2,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,"2021-01-04"
"Precious Achiuwa","MIA",21,1,1,0,19.6,6,2,5,40,0,0,0,2,5,40,2,5,7,0,1,1,0,3,16.4,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,6,"2021-01-04"
"Steven Adams","NOP",27,1,0,1,31,10,4,7,57.1,0,0,0,2,4,50,4,4,8,0,4,3,0,5,24.6,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,7,"2021-01-04"
"Chimezie Metu","SAC",23,1,0,1,4.8,7,3,4,75,1,1,100,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,6,"2021-01-04"
"Jahmi'us Ramsey","SAC",19,1,0,1,4.8,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,"2021-01-04"
"Paul Watson","TOR",26,1,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4.2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,"2021-01-04"
"Robert Woodard II","SAC",21,1,0,1,4.8,4,2,6,33.3,0,1,0,0,0,0,3,3,6,0,0,0,0,0,11.2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,6,"2021-01-04"
"Darius Miller","OKC",30,1,0,1,7.3,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,-1,"2021-01-04"
"Eric Bledsoe","NOP",31,1,0,1,34.4,12,4,9,44.4,1,3,33.3,3,4,75,2,9,11,5,4,0,0,5,28.7,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,13,"2021-01-04"
"Josh Hall","OKC",20,1,0,1,7.3,0,0,2,0,0,1,0,0,0,0,1,2,3,2,1,0,0,2,5.6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,"2021-01-04"
"Justin James","SAC",23,1,0,1,7.8,4,2,3,66.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,"2021-01-04"
"Moses Brown","OKC",21,1,0,1,5.8,5,1,1,100,0,0,0,3,8,37.5,1,2,3,0,0,1,0,0,11.6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,4,"2021-01-04"
"Paul Reed","PHI",21,1,1,0,1.4,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,"2021-01-04"
"Caleb Martin","CHA",25,1,0,1,17.4,7,2,4,50,0,2,0,3,5,60,2,1,3,2,3,0,1,0,13.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,"2021-01-04"
"Jordan Bone","ORL",23,1,1,0,2.9,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,"2021-01-04"
"Karim Mane","ORL",20,1,1,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,"2021-01-04"
"Svi Mykhailiuk","DET",23,1,0,1,29.6,13,3,6,50,3,5,60,4,4,100,1,2,3,3,0,1,1,0,27.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,18,"2021-01-04"
"Brodric Thomas","HOU",23,1,0,1,1.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,-1,"2021-01-04"
"Bruno Caboclo","HOU",25,1,0,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"2021-01-04"
"Clint Capela","ATL",26,1,0,1,30.6,12,5,7,71.4,0,0,0,2,2,100,2,10,12,0,0,0,1,3,29.4,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,20,"2021-01-04"
"Delon Wright","DET",28,1,0,1,10,2,1,2,50,0,1,0,0,0,0,0,2,2,2,1,1,0,1,9.4,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4,"2021-01-04"
"JaKarr Sampson","IND",27,1,1,0,9,7,2,3,66.7,0,1,0,3,3,100,0,1,1,0,0,0,1,2,11.2,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,8,"2021-01-04"
"Jahlil Okafor","DET",25,1,0,1,3.9,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3.2,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,"2021-01-04"
"Jordan Poole","GSW",21,1,1,0,7.8,8,3,5,60,2,3,66.7,0,0,0,0,1,1,0,1,0,0,1,8.2,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,7,"2021-01-04"
